period,state,state_description,coal_capability,coal_capability_change,coal_percent_share,total_capability
1990,AK,Alaska,117.0,,0.032,3663.0
1991,AK,Alaska,112.0,-5.0,0.031,3632.0
1992,AK,Alaska,110.0,-2.0,0.028,3921.0
1993,AK,Alaska,110.0,0.0,0.028,3986.0
1994,AK,Alaska,110.0,0.0,0.027,4049.0
1995,AK,Alaska,110.0,0.0,0.027,4028.0
1996,AK,Alaska,110.0,0.0,0.027,4033.0
1997,AK,Alaska,110.0,0.0,0.027,4083.0
1998,AK,Alaska,109.0,-1.0,0.027,4052.0
1999,AK,Alaska,108.0,-1.0,0.027,4054.0
2000,AK,Alaska,108.0,0.0,0.026,4226.0
2001,AK,Alaska,85.0,-23.0,0.02,4150.0
2002,AK,Alaska,85.0,0.0,0.021,3990.0
2003,AK,Alaska,85.0,0.0,0.022,3789.0
2004,AK,Alaska,85.0,0.0,0.023,3702.0
2005,AK,Alaska,105.0,20.0,0.028,3781.0
2006,AK,Alaska,105.0,0.0,0.028,3769.0
2007,AK,Alaska,105.0,0.0,0.027,3922.0
2008,AK,Alaska,112.0,7.0,0.02,5471.1
2009,AK,Alaska,110.5,-1.5,0.02,5505.1
2010,AK,Alaska,110.5,0.0,0.02,5633.8
2011,AK,Alaska,110.5,0.0,0.02,5639.4
2012,AK,Alaska,110.5,0.0,0.019,5764.1
2013,AK,Alaska,110.5,0.0,0.017,6531.9
2014,AK,Alaska,106.1,-4.4,0.016,6716.8
2015,AK,Alaska,103.8,-2.3,0.015,7127.8
2016,AK,Alaska,153.8,50.0,0.021,7490.4
2017,AK,Alaska,152.8,-1.0,0.02,7508.9
2018,AK,Alaska,152.8,0.0,0.02,7496.3
2019,AK,Alaska,151.9,-0.9,0.02,7543.5
2020,AK,Alaska,168.9,17.0,0.022,7546.0
2021,AK,Alaska,168.9,0.0,0.022,7565.2
2022,AK,Alaska,167.9,-1.0,0.022,7655.2
2023,AK,Alaska,167.9,0.0,0.022,7658.3
2024,AK,Alaska,167.9,0.0,0.022,7715.2
1990,AL,Alabama,11131.0,,0.28,39751.0
1991,AL,Alabama,11612.0,481.0,0.283,41089.0
1992,AL,Alabama,11602.0,-10.0,0.281,41233.0
1993,AL,Alabama,11602.0,0.0,0.279,41598.0
1994,AL,Alabama,11554.0,-48.0,0.277,41660.0
1995,AL,Alabama,11692.0,138.0,0.273,42895.0
1996,AL,Alabama,11539.0,-153.0,0.266,43461.0
1997,AL,Alabama,11309.0,-230.0,0.258,43821.0
1998,AL,Alabama,11372.0,63.0,0.254,44748.0
1999,AL,Alabama,11372.0,0.0,0.251,45310.0
2000,AL,Alabama,11409.0,37.0,0.242,47077.0
2001,AL,Alabama,11385.0,-24.0,0.239,47669.0
2002,AL,Alabama,11265.0,-120.0,0.212,53161.0
2003,AL,Alabama,11231.0,-34.0,0.186,60324.0
2004,AL,Alabama,11370.0,139.0,0.185,61295.0
2005,AL,Alabama,11592.0,222.0,0.189,61389.0
2006,AL,Alabama,11557.0,-35.0,0.188,61328.0
2007,AL,Alabama,11544.0,-13.0,0.189,61230.0
2008,AL,Alabama,11505.9,-38.1,0.157,73210.1
2009,AL,Alabama,11485.7,-20.2,0.156,73732.1
2010,AL,Alabama,11440.6,-45.1,0.149,76812.8
2011,AL,Alabama,11456.6,16.0,0.148,77268.8
2012,AL,Alabama,11367.3,-89.3,0.147,77182.8
2013,AL,Alabama,11136.7,-230.6,0.145,76830.8
2014,AL,Alabama,10746.4,-390.3,0.141,76060.4
