AL,Southeast,#c74852
AK,Pacific,#4a9b7f
AZ,Southwest,#d47645
AR,Southeast,#c74852
CA,Pacific,#4a9b7f
CO,Mountain West,#7553ba
CT,Northeast,#5a7a8c
DE,Northeast,#5a7a8c
FL,Southeast,#c74852
GA,Southeast,#c74852
HI,Pacific,#4a9b7f
ID,Mountain West,#7553ba
IL,Midwest,#b8916a
IN,Midwest,#b8916a
IA,Midwest,#b8916a
KS,Midwest,#b8916a
KY,Southeast,#c74852
LA,Southeast,#c74852
ME,Northeast,#5a7a8c
MD,Northeast,#5a7a8c
MA,Northeast,#5a7a8c
MI,Midwest,#b8916a
MN,Midwest,#b8916a
MS,Southeast,#c74852
MO,Midwest,#b8916a
MT,Mountain West,#7553ba
NE,Midwest,#b8916a
NV,Mountain West,#7553ba
NH,Northeast,#5a7a8c
NJ,Northeast,#5a7a8c
NM,Southwest,#d47645
NY,Northeast,#5a7a8c
NC,Southeast,#c74852
ND,Midwest,#b8916a
OH,Midwest,#b8916a
OK,Southwest,#d47645
OR,Pacific,#4a9b7f
PA,Northeast,#5a7a8c
RI,Northeast,#5a7a8c
SC,Southeast,#c74852
SD,Midwest,#b8916a
TN,Southeast,#c74852
TX,Southwest,#d47645
UT,Mountain West,#7553ba
VT,Northeast,#5a7a8c
VA,Southeast,#c74852
WA,Pacific,#4a9b7f
WV,Southeast,#c74852
WI,Midwest,#b8916a
WY,Mountain West,#7553ba
DC,Northeast,#5a7a8c
